,aqi,pm2_5,pm10,temp,humidity,wind_speed,wind_direction
2025-04-13 15Hrs,91.0,30.0,69.0,35.0,37.0,25.0,309° NW
2025-04-13 16Hrs,91.0,30.0,69.0,35.0,37.0,25.0,309° NW
2025-04-13 18Hrs,94.0,32.0,75.0,34.0,41.0,25.0,116° ESE
2025-04-13 19Hrs,91.0,30.0,69.0,35.0,37.0,25.0,309° NW
2025-04-13 20Hrs,94.0,32.0,75.0,34.0,41.0,25.0,116° ESE
2025-04-13 21Hrs,94.0,32.0,75.0,34.0,41.0,25.0,116° ESE
2025-04-13 22Hrs,113.0,41.0,84.0,31.0,55.0,4.0,248° WSW
2025-04-13 23Hrs,96.0,33.0,73.0,30.0,59.0,7.0,313° NW
2025-04-14 00Hrs,96.0,33.0,73.0,30.0,59.0,7.0,313° NW
2025-04-14 01Hrs,96.0,33.0,73.0,30.0,59.0,7.0,313° NW
2025-04-14 02Hrs,96.0,33.0,73.0,30.0,59.0,7.0,313° NW
2025-04-14 03Hrs,74.0,22.0,48.0,28.0,74.0,5.0,27° NNE
2025-04-14 04Hrs,74.0,22.0,48.0,28.0,74.0,5.0,27° NNE
2025-04-14 07Hrs,90.0,30.0,63.0,27.0,84.0,7.0,115° ESE
2025-04-14 08Hrs,92.0,31.0,64.0,29.0,75.0,11.0,121° ESE
2025-04-14 09Hrs,92.0,31.0,64.0,29.0,75.0,11.0,121° ESE
2025-04-14 10Hrs,92.0,31.0,75.0,32.0,59.0,11.0,137° SE
2025-04-14 12Hrs,91.0,30.0,59.0,33.0,53.0,12.0,157° SSE
2025-04-14 13Hrs,91.0,30.0,59.0,33.0,53.0,12.0,157° SSE
2025-04-14 14Hrs,92.0,31.0,70.0,34.0,50.0,13.0,195° SSW
2025-04-14 15Hrs,96.0,33.0,72.0,34.0,47.0,18.0,200° SSW
2025-04-14 16Hrs,96.0,33.0,72.0,34.0,47.0,18.0,200° SSW
2025-04-14 18Hrs,96.0,33.0,75.0,34.0,47.0,16.0,327° NNW
2025-04-14 19Hrs,96.0,33.0,75.0,34.0,47.0,16.0,327° NNW
2025-04-14 20Hrs,96.0,33.0,75.0,34.0,47.0,16.0,327° NNW
2025-04-14 21Hrs,96.0,33.0,75.0,34.0,47.0,16.0,327° NNW
2025-04-14 22Hrs,96.0,33.0,75.0,34.0,47.0,16.0,327° NNW
2025-04-14 23Hrs,93.0,32.0,75.0,24.0,74.0,17.0,29° NNE
2025-04-15 00Hrs,93.0,32.0,75.0,24.0,74.0,17.0,29° NNE
2025-04-15 01Hrs,93.0,32.0,75.0,24.0,74.0,17.0,29° NNE
2025-04-15 02Hrs,93.0,32.0,75.0,24.0,74.0,17.0,29° NNE
2025-04-15 03Hrs,86.0,28.0,99.0,24.0,74.0,5.0,128° SE
2025-04-15 04Hrs,86.0,28.0,99.0,24.0,74.0,5.0,128° SE
2025-04-15 07Hrs,104.0,37.0,107.0,24.0,78.0,8.0,146° SE
2025-04-15 08Hrs,89.0,29.0,60.0,26.0,70.0,10.0,134° SE
2025-04-15 09Hrs,89.0,29.0,60.0,26.0,70.0,10.0,134° SE
2025-04-15 10Hrs,89.0,29.0,60.0,26.0,70.0,10.0,134° SE
2025-04-15 11Hrs,89.0,29.0,60.0,26.0,70.0,10.0,134° SE
2025-04-15 13Hrs,87.0,29.0,60.0,33.0,49.0,7.0,161° SSE
2025-04-15 14Hrs,94.0,32.0,65.0,33.0,53.0,5.0,175° S
2025-04-15 16Hrs,90.0,30.0,64.0,34.0,47.0,18.0,200° SSW
2025-04-15 18Hrs,90.0,30.0,64.0,34.0,47.0,18.0,200° SSW
2025-04-15 19Hrs,93.0,31.0,68.0,32.0,52.0,14.0,245° WSW
2025-04-15 20Hrs,93.0,31.0,68.0,32.0,52.0,14.0,245° WSW
2025-04-15 21Hrs,93.0,31.0,68.0,32.0,52.0,14.0,245° WSW
2025-04-15 22Hrs,102.0,36.0,78.0,30.0,62.0,12.0,210° SSW
2025-04-15 23Hrs,99.0,35.0,68.0,30.0,62.0,11.0,189° S
2025-04-16 00Hrs,99.0,35.0,68.0,30.0,62.0,11.0,189° S
2025-04-16 01Hrs,95.0,33.0,67.0,29.0,70.0,9.0,200° SSW
2025-04-16 02Hrs,95.0,33.0,67.0,29.0,70.0,9.0,200° SSW
2025-04-16 03Hrs,98.0,34.0,74.0,28.0,79.0,8.0,202° SSW
2025-04-16 04Hrs,98.0,34.0,74.0,28.0,79.0,8.0,202° SSW
2025-04-16 07Hrs,116.0,42.0,119.0,27.0,84.0,9.0,200° SSW
2025-04-16 08Hrs,116.0,42.0,119.0,27.0,84.0,9.0,200° SSW
2025-04-16 09Hrs,116.0,42.0,119.0,27.0,84.0,9.0,200° SSW
2025-04-16 10Hrs,116.0,41.0,135.0,31.0,66.0,13.0,188° S
2025-04-16 11Hrs,116.0,41.0,135.0,31.0,66.0,13.0,188° S
2025-04-16 12Hrs,116.0,41.0,135.0,31.0,66.0,13.0,188° S
2025-04-16 13Hrs,91.0,31.0,67.0,33.0,56.0,13.0,192° SSW
2025-04-16 14Hrs,91.0,31.0,67.0,33.0,56.0,13.0,192° SSW
2025-04-16 15Hrs,91.0,30.0,69.0,27.0,74.0,19.0,212° SSW
2025-04-16 16Hrs,91.0,30.0,69.0,27.0,74.0,19.0,212° SSW
2025-04-16 18Hrs,82.0,26.0,60.0,31.0,59.0,15.0,193° SSW
2025-04-16 19Hrs,82.0,26.0,60.0,31.0,59.0,15.0,193° SSW
2025-04-16 20Hrs,89.0,29.0,63.0,30.0,70.0,23.0,190° S
2025-04-16 21Hrs,92.0,31.0,77.0,29.0,75.0,14.0,191° S
2025-04-16 22Hrs,92.0,31.0,75.0,29.0,79.0,14.0,179° S
2025-04-16 23Hrs,93.0,31.0,76.0,29.0,79.0,13.0,193° SSW
2025-04-17 00Hrs,93.0,31.0,76.0,29.0,79.0,13.0,193° SSW
2025-04-17 01Hrs,93.0,31.0,76.0,29.0,79.0,13.0,193° SSW
2025-04-17 02Hrs,93.0,31.0,76.0,29.0,79.0,13.0,193° SSW
2025-04-17 03Hrs,92.0,32.0,75.0,27.0,89.0,16.0,191° S
2025-04-17 04Hrs,92.0,32.0,75.0,27.0,89.0,16.0,191° S
2025-04-17 07Hrs,75.0,22.0,55.0,27.0,89.0,13.0,207° SSW
2025-04-17 08Hrs,75.0,22.0,55.0,27.0,89.0,13.0,207° SSW
2025-04-17 09Hrs,76.0,22.0,63.0,30.0,75.0,17.0,187° S
2025-04-17 10Hrs,74.0,21.0,60.0,31.0,71.0,17.0,189° S
2025-04-17 11Hrs,74.0,21.0,60.0,31.0,71.0,17.0,189° S
2025-04-17 12Hrs,80.0,24.0,60.0,33.0,63.0,16.0,199° SSW
2025-04-17 13Hrs,75.0,22.0,59.0,34.0,56.0,13.0,206° SSW
2025-04-17 14Hrs,80.0,25.0,62.0,34.0,53.0,13.0,198° SSW
2025-04-17 15Hrs,89.0,29.0,69.0,35.0,50.0,28.0,220° SW
2025-04-17 16Hrs,89.0,30.0,68.0,35.0,47.0,23.0,177° S
2025-04-17 18Hrs,90.0,30.0,71.0,26.0,74.0,21.0,174° S
2025-04-17 19Hrs,90.0,30.0,73.0,23.0,89.0,23.0,163° SSE
2025-04-17 20Hrs,83.0,26.0,63.0,23.0,89.0,25.0,172° S
2025-04-17 21Hrs,71.0,20.0,56.0,24.0,83.0,17.0,162° SSE
2025-04-17 22Hrs,70.0,20.0,60.0,24.0,83.0,16.0,156° SSE
2025-04-17 23Hrs,74.0,21.0,60.0,25.0,79.0,17.0,193° SSW
2025-04-18 00Hrs,75.0,22.0,64.0,25.0,79.0,18.0,203° SSW
2025-04-18 01Hrs,95.0,33.0,87.0,25.0,79.0,18.0,203° SSW
2025-04-18 02Hrs,96.0,33.0,88.0,24.0,83.0,18.0,188° S
2025-04-18 03Hrs,96,33,86,23,89,17,194° SSW
